,CARR,Carrier Global Corp,29.15,,#N/A,#N/A
,OTIS,Otis Worldwide Corp,59.99,,#N/A,#N/A
,SWKS,Skyworks Solutions Inc,137.79,,81.98,68.08%
,DPZ,"Domino's Pizza, Inc.",388.52,,244.79,58.72%
,NOW,ServiceNow Inc,458.06,,261.15,75.40%
,URI,"United Rentals, Inc.",176.58,,128.35,37.58%
,CMG,"Chipotle Mexican Grill, Inc.",1267.19,,799.87,58.42%
,MTD,Mettler-Toledo International Inc.,978.99,,711.65,37.57%
,ABMD,"ABIOMED, Inc.",275.7,,190.54,44.69%
,FB,"Facebook, Inc. Common Stock",266.15,,186.22,42.92%
,CHTR,Charter Communications Inc,609.7,,423.25,44.05%
,DE,Deere & Company,218.33,,164.59,32.65%
,ITW,Illinois Tool Works Inc.,198.22,,156.79,26.42%
,LIN,Linde PLC,251.25,,188.52,33.27%
,GWW,W W Grainger Inc,354.34,,295.81,19.79%
,APD,"Air Products & Chemicals, Inc.",303.97,,215.24,41.22%
,EBAY,eBay Inc,52.3,,40.3,29.78%
,BWA,BorgWarner Inc.,42.82,,#N/A,#N/A
,UNH,UnitedHealth Group Inc,308.57,,234.43,31.63%
,FMC,FMC Corp,110.53,,91.09,21.34%
,JBHT,J B Hunt Transport Services Inc,132.02,,115,14.80%
,PGR,Progressive Corp,96.26,,73.4,31.14%
,RMD,ResMed Inc.,174.43,,130.71,33.45%
,HD,Home Depot Inc,280.65,,230.99,21.50%
,DOV,Dover Corp,113.69,,99.25,14.55%
,CAG,Conagra Brands Inc,34.59,,30.44,13.63%
,PLD,Prologis Inc,101.95,,85.22,19.63%
,AMGN,"Amgen, Inc.",246.75,,194.08,27.14%
,INFO,IHS Markit Ltd,77.95,,68.15,14.38%
,SBAC,SBA Communications Corporation,309.69,,246.29,25.74%
,AMCR,Amcor PLC,11.15,,9.67,15.31%
,AJG,Arthur J Gallagher & Co,102.61,,87.56,17.19%
,MKTX,MarketAxess Holdings Inc.,461.85,,334.35,38.13%
,NVR,"NVR, Inc.",4142.22,,3576.34,15.82%
,ABC,AmerisourceBergen Corp.,94.6,,83.79,12.90%
,PM,Philip Morris International Inc.,81.94,,72.6,12.87%
,ORCL,Oracle Corporation,59.46,,53.14,11.89%
,JKHY,"Jack Henry & Associates, Inc.",158.47,,146.11,8.46%
,RSG,"Republic Services, Inc.",96.76,,84.89,13.98%
,ARE,Alexandria Real Estate Equities Inc,163.68,,153.16,6.87%
,CERN,Cerner Corporation,71.94,,67.76,6.17%
,MMM,3M Co,168.46,,169.67,-0.71%
,GILD,"Gilead Sciences, Inc.",66.34,,65.88,0.70%
,J,Jacobs Engineering Group Inc,94.03,,92.67,1.47%
,CL,Colgate-Palmolive Company,77.15,,69.43,11.12%
,JNPR,"Juniper Networks, Inc.",23.12,,24.38,-5.17%
,CMCSA,Comcast Corporation,45.27,,46.27,-2.16%
,SNA,Snap-on Incorporated,152.83,,162.05,-5.69%
,TT,Trane Technologies PLC,118.99,,123.93,-3.99%
,VRSN,"Verisign, Inc.",202,,189.55,6.57%
,AEE,Ameren Corp,76.98,,77.17,-0.25%
,MRK,"Merck & Co., Inc.",84.16,,82.03,2.60%
,HLT,Hilton Hotels Corporation Common Stock,92.31,,93.66,-1.44%
,NOC,Northrop Grumman Corporation,338.45,,371.43,-8.88%
,NLOK,NortonLifeLock Inc,21.26,,24.26,-12.37%
,BKNG,Booking Holdings Inc,1784.59,,2072.95,-13.91%
,LW,Lamb Weston Holdings Inc,65.61,,73.19,-10.36%
,RL,Ralph Lauren Corp,80.59,,103.15,-21.87%
,BK,Bank of New York Mellon Corp,35.96,,46.75,-23.08%
,DISCA,DISCOVERY COMMUNICATIONS INC. Common Stock,23.77,,27.97,-15.02%
,ETR,Entergy Corporation,96.72,,113.53,-14.81%
,SRE,Sempra Energy,119.15,,141.75,-15.94%
,T,AT&T Inc.,29.14,,37.31,-21.90%
,ED,"Consolidated Edison, Inc.",74.22,,89.93,-17.47%
,YUM,"Yum! Brands, Inc.",92.87,,110.54,-15.99%
,GD,General Dynamics Corporation,147.47,,190.97,-22.78%
,GE,General Electric Company,6.15,,9.38,-34.43%
,HST,Host Hotels and Resorts Inc,11.92,,17.41,-31.53%
,WDC,Western Digital Corp,38.94,,62.99,-38.18%
,HRB,H & R Block Inc,14.72,,24.06,-38.82%
,UAA,Under Armour Inc Class A,11.72,,21.11,-44.48%
,UA,Under Armour Inc Class C,10.3,,19.02,-45.85%
,PSX,Phillips 66,58.37,,104.03,-43.89%
,AAL,American Airlines Group Inc,13.26,,27.77,-52.25%
,UAL,United Airlines Holdings Inc,36.74,,88.76,-58.61%
,NBL,"Noble Energy, Inc.",9.13,,25.23,-63.81%
,NVDA,NVIDIA Corporation,514.89,,180.21,185.72%
,AMD,"Advanced Micro Devices, Inc.",77.9,,30.83,152.68%
,DXCM,"DexCom, Inc.",393.61,,148.68,164.74%
,AAPL,Apple Inc.,115.36,,54.98,109.82%
,REGN,Regeneron Pharmaceuticals Inc,564.2,,285.89,97.35%
,WST,West Pharmaceutical Services Inc.,277.87,,142.13,95.50%
,ODFL,Old Dominion Freight Line Inc,193.15,,116.16,66.28%
,FCX,Freeport-McMoRan Inc,16.36,,10.47,56.26%
,ALGN,"Align Technology, Inc.",323.46,,179.37,80.33%
,LB,L Brands Inc,29.05,,19.44,49.43%
,QRVO,Qorvo Inc,122.84,,77.22,59.08%
,AMZN,"Amazon.com, Inc.",3102.97,,1807.84,71.64%
,PYPL,Paypal Holdings Inc,186.96,,106.52,75.52%
,BBY,Best Buy Co Inc,107.7,,68.91,56.29%
,FBHS,Fortune Brands Home & Security Inc,83.77,,53.45,56.73%
,ADBE,Adobe Inc,485.91,,282.93,71.74%
,NFLX,Netflix Inc,476.26,,294.29,61.83%
,VAR,"Varian Medical Systems, Inc.",173.15,,117.21,47.73%
,NEM,Newmont Corporation,67.38,,38.48,75.10%
,ROL,"Rollins, Inc.",54.29,,34.64,56.73%
,ADSK,"Autodesk, Inc.",229.83,,153.87,49.37%
,CRM,"salesforce.com, inc.",246.64,,153.01,61.19%
,ALB,Albemarle Corporation,98.17,,68.84,42.61%
,PWR,Quanta Services Inc,52.26,,38.92,34.28%
,ATVI,"Activision Blizzard, Inc.",79.12,,55.78,41.84%
,ANSS,"ANSYS, Inc.",321.6,,212.13,51.61%
,TMO,Thermo Fisher Scientific Inc.,434.1,,295.33,46.99%
,BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",508.84,,334.15,52.28%
,LEN,Lennar Corporation,79,,53.34,48.11%
,QCOM,"QUALCOMM, Inc.",113.46,,78.04,45.39%
,DVA,Davita Inc,87.79,,63.28,38.73%
,MSFT,Microsoft Corporation,205.41,,136.33,50.67%
,ROK,Rockwell Automation,224.66,,165.8,35.50%
,FDX,FedEx Corporation,236.34,,173.57,36.16%
,CDNS,Cadence Design Systems Inc,103.23,,65.73,57.05%
,FAST,Fastenal Company,44.33,,33.46,32.49%
,FTNT,Fortinet Inc,118.01,,79.67,48.12%
,KSU,Kansas City Southern,187.22,,132.75,41.03%
,MAS,Masco Corp,59.4,,42.72,39.04%
,DHR,Danaher Corporation,207.93,,140.65,47.84%
,LOW,Lowe`s Companies Inc,165.19,,112.63,46.67%
,MSCI,Msci Inc,342.37,,230,48.86%
,TMUS,T-Mobile Us Inc,112.27,,79.56,41.11%
,PKI,"PerkinElmer, Inc.",117.73,,86.23,36.53%
,VRTX,Vertex Pharmaceuticals Incorporated,264.8,,#N/A,#N/A
,SNPS,"Synopsys, Inc.",205.54,,133.24,54.26%
,DHI,D. R. Horton Inc,72.72,,49.03,48.32%
,KR,Kroger Co,32.84,,25.98,26.40%
,CMI,Cummins Inc.,210.58,,163.7,28.64%
,CTXS,"Citrix Systems, Inc.",135.4,,96.64,40.11%
,ISRG,"Intuitive Surgical, Inc.",716.34,,523.64,36.80%
,MNST,Monster Beverage Corp,82.89,,59.23,39.95%
,A,Agilent Technologies Inc,99.42,,77.15,28.87%
,HUM,Humana Inc,403.63,,278.28,45.04%
,NKE,Nike Inc,119.28,,87.27,36.68%
,TGT,Target Corporation,148.44,,106.96,38.78%
,LRCX,Lam Research Corporation,305.42,,234.94,30.00%
,TIF,Tiffany & Co.,113.19,,96.4,17.42%
,TSCO,Tractor Supply Company,138.14,,95.66,44.41%
,ABBV,AbbVie Inc,90.49,,70.58,28.21%
,CPRT,"Copart, Inc.",103.86,,82.18,26.38%
,UPS,"United Parcel Service, Inc.",160.14,,122.57,30.65%
,IPGP,IPG Photonics Corporation,162.88,,145.46,11.98%
,SPGI,S&P Global Inc,353.09,,249.5,41.52%
,SHW,Sherwin-Williams Co,717.6,,527.49,36.04%
,MCO,Moody's Corporation,288.68,,213.33,35.32%
,BF.B,Brown-Forman Corporation Class B,79.49,,64.18,23.85%
,PHM,"PulteGroup, Inc.",45.67,,35.2,29.74%
,EA,Electronic Arts Inc.,126.18,,99.12,27.30%
,EQIX,Equinix Inc,756.04,,549.93,37.48%
,CLX,Clorox Co,217.46,,153.77,41.42%
,CAT,Caterpillar Inc.,153.51,,133.15,15.29%
,AVGO,Broadcom Inc,362.2,,288.66,25.48%
,IR,Ingersoll Rand Inc,36.32,,31.85,14.03%
,SIVB,SVB Financial Group,250.68,,221.36,13.25%
,STT,State Street Corp,64.43,,60.51,6.48%
,ETN,Eaton Corporation PLC,103.18,,86.46,19.34%
,PCAR,PACCAR Inc,86.36,,70.95,21.72%
,GOOG,Alphabet Inc Class C,1519.28,,1231.3,23.39%
,BLK,"BlackRock, Inc.",547.38,,435.71,25.63%
,LLY,Eli Lilly And Co,149,,110.13,35.29%
,PH,Parker-Hannifin Corp,211.44,,179.18,18.00%
,GOOGL,Alphabet Inc Class A,1508.83,,1231.63,22.51%
,DG,Dollar General Corp.,202.11,,153.17,31.95%
,EXPD,Expeditors International of Wshngtn Inc,91.21,,75.39,20.98%
,ILMN,"Illumina, Inc.",353.65,,300.89,17.53%
,WHR,Whirlpool Corporation,177.8,,#N/A,#N/A
,HOLX,"Hologic, Inc.",60.65,,49.45,22.65%
,IDXX,"IDEXX Laboratories, Inc.",365.56,,265.64,37.61%
,ETFC,E*TRADE Financial Corp,53,,45.86,15.57%
,NSC,Norfolk Southern Corp.,220.29,,182.28,20.85%
,TYL,"Tyler Technologies, Inc.",330.05,,257.65,28.10%
,NDAQ,Nasdaq Inc,126.99,,99.28,27.91%
,ZBRA,Zebra Technologies Corp.,251.26,,202.78,23.91%
,PNR,Pentair PLC,44.8,,37.66,18.96%
,ZTS,Zoetis Inc,160.86,,119.64,34.45%
,ABT,Abbott Laboratories,105.69,,83.36,26.79%
,EMN,Eastman Chemical Company,81,,74.29,9.03%
,BIIB,Biogen Inc,278.29,,236.12,17.86%
,LKQ,LKQ Corporation,32.34,,32.06,0.87%
,ORLY,O'Reilly Automotive Inc,478.12,,380.44,25.68%
,CTAS,Cintas Corporation,327.81,,247.46,32.47%
,ADM,Archer-Daniels-Midland Co,47.5,,41.96,13.20%
,SWK,"Stanley Black & Decker, Inc.",162.35,,143.63,13.03%
,NEE,NextEra Energy Inc,281.92,,#N/A,#N/A
,GRMN,Garmin Ltd.,99.7,,85.07,17.20%
,KMX,"CarMax, Inc",104.8,,84.26,24.38%
,UNP,Union Pacific Corporation,198.84,,168.95,17.69%
,MS,Morgan Stanley,51.15,,44.75,14.30%
,BMY,Bristol-Myers Squibb Co,59.7,,49.47,20.68%
,MXIM,Maxim Integrated Products Inc.,66.35,,59,12.46%
,CNC,Centene Corp,58.22,,46.12,26.24%
,LEG,"Leggett & Platt, Inc.",44.63,,41.87,6.59%
,APH,Amphenol Corporation,106.78,,95.05,12.34%
,KHC,Kraft Heinz Co,31.87,,29.62,7.60%
,FRC,First Republic Bank,107.9,,#N/A,#N/A
,MKC,"McCormick & Company, Incorporated",200.1,,158.28,26.42%
,CHRW,CH Robinson Worldwide Inc,100.71,,85.29,18.08%
,ACN,Accenture Plc,238.83,,194.16,23.01%
,AME,"AMETEK, Inc.",101.39,,#N/A,#N/A
,AMP,"Ameriprise Financial, Inc.",156.03,,147.43,5.83%
,AKAM,"Akamai Technologies, Inc.",108.19,,89.43,20.98%
,DOW,Dow Inc,50.09,,49.01,2.20%
,WMT,Walmart Inc,137.32,,115.57,18.82%
,MCHP,Microchip Technology Inc.,102.21,,94.45,8.22%
,GLW,Corning Incorporated,32.74,,30.05,8.95%
,MA,Mastercard Inc,338.6,,274.08,23.54%
,HBI,Hanesbrands Inc.,15.78,,15.63,0.96%
,MMC,"Marsh & McLennan Companies, Inc.",117.8,,100.03,17.76%
,TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC Common Stock",156.48,,128.63,21.65%
,HRL,Hormel Foods Corp,50.25,,42.83,17.32%
,CSX,CSX Corporation,78.96,,72.39,9.08%
,EMR,Emerson Electric Co.,68.19,,65.66,3.85%
,CHD,"Church & Dwight Co., Inc.",92.72,,72.38,28.10%
,COST,Costco Wholesale Corporation,342.92,,288.69,18.78%
,AES,AES Corp,17.95,,16,12.19%
,DLR,"Digital Realty Trust, Inc.",144.28,,126.39,14.15%
,AMAT,"Applied Materials, Inc.",56.46,,50.92,10.88%
,PPG,"PPG Industries, Inc.",130.21,,115.36,12.87%
,JNJ,Johnson & Johnson,148.35,,#N/A,#N/A
,KLAC,KLA Corp,178.08,,151.19,17.79%
,TROW,T. Rowe Price Group Inc,127.41,,116.85,9.04%
,PG,Procter & Gamble Co,138.63,,119.75,15.77%
,XYL,Xylem Inc,84.21,,78.06,7.88%
,IEX,IDEX Corporation,184.1,,171.53,7.33%
,VRSK,"Verisk Analytics, Inc.",185.08,,156.52,18.25%
,EW,Edwards Lifesciences Corp,82.95,,71.7,15.69%
,FTV,Fortive Corp,77.63,,69.5,11.70%
,TXN,Texas Instruments Incorporated,138.53,,128.36,7.92%
,V,Visa Inc,204.98,,176.11,16.39%
,AZO,"AutoZone, Inc.",1241.66,,1130.66,9.82%
,CAH,Cardinal Health Inc,47.05,,48.91,-3.80%
,HCA,HCA Healthcare Inc,135.72,,128.95,5.25%
,EFX,Equifax Inc.,163.32,,139.98,16.67%
,NWSA,News Corp Class A,15.31,,14.08,8.74%
,DRE,Duke Realty Corp,37.9,,32.93,15.09%
,CTSH,Cognizant Technology Solutions Corp,69.29,,63.99,8.28%
,IFF,International Flavors & Fragrances Inc,122.98,,122.03,0.78%
,INTU,Intuit Inc.,318.31,,265.82,19.75%
,GPC,Genuine Parts Company,103.02,,97.89,5.24%
,ALXN,"Alexion Pharmaceuticals, Inc.",108.72,,108.54,0.17%
,ROP,Roper Technologies Inc,396.26,,356.73,11.08%
,AAP,"Advance Auto Parts, Inc.",157.31,,156.07,0.79%
,INCY,Incyte Corporation,93.15,,78.34,18.90%
,TEL,TE Connectivity Ltd,99.58,,95.1,4.71%
,CI,Cigna Corp,171.85,,165.5,3.84%
,COO,Cooper Companies Inc,334.55,,303.09,10.38%
,AWK,American Water Works Company Inc,142.88,,120.98,18.10%
,PAYC,Paycom Software Inc,272.64,,211.29,29.04%
,BRK.B,Berkshire Hathaway Inc. Class B,219.94,,210.33,4.57%
,LH,Laboratory Corp. of America Holdings,183.13,,172.75,6.01%
,MCK,McKesson Corporation,150.9,,144.16,4.68%
,NWS,News Corp Class B,15.2,,14.48,4.97%
,DGX,Quest Diagnostics Inc,112.72,,105.67,6.67%
,GIS,"General Mills, Inc.",58.76,,54.54,7.74%
,WY,Weyerhaeuser Co,28.93,,27.59,4.86%
,EL,Estee Lauder Companies Inc,217.41,,192.55,12.91%
